timestamp,elapsed_time,FLOW1,FLOW2,PRESSURE
2024-10-26 21:39:22,0.958984,0.0,0.0,576.0
2024-10-26 21:39:23,1.962568,0.0,0.0,580.0
2024-10-26 21:39:24,2.965405,7.6,0.0,582.0
2024-10-26 21:39:25,3.964877,15.87,0.0,592.0
2024-10-26 21:39:26,4.968163,18.13,0.0,596.0
2024-10-26 21:39:27,5.968554,7.2,0.0,602.0
2024-10-26 21:39:28,6.971466,12.8,0.0,606.0
2024-10-26 21:39:29,7.971047,18.13,0.0,604.0
2024-10-26 21:39:30,8.974139,8.27,0.0,600.0
2024-10-26 21:39:31,9.978142,8.8,0.0,592.0
2024-10-26 21:39:32,10.977331,17.2,0.0,582.0
2024-10-26 21:39:33,11.980456,10.53,0.0,580.0
2024-10-26 21:39:34,12.983874,6.27,0.0,576.0
2024-10-26 21:39:35,13.983818,17.33,0.0,576.0
2024-10-26 21:39:36,14.98654,7.47,0.0,582.0
2024-10-26 21:39:37,15.98622,11.2,0.0,588.0
2024-10-26 21:39:38,16.98971,14.27,0.0,596.0
2024-10-26 21:39:39,17.989175,9.47,0.0,600.0
2024-10-26 21:39:40,18.992842,12.13,0.0,606.0
2024-10-26 21:39:41,19.992776,1.2,0.0,606.0
2024-10-26 21:39:42,20.995927,0.0,0.0,602.0
2024-10-26 21:39:43,21.995692,0.0,0.0,602.0
2024-10-26 21:39:44,22.998808,0.0,0.0,590.0
2024-10-26 21:39:45,24.001735,0.0,0.0,580.0
2024-10-26 21:39:46,25.001189,0.0,0.0,578.0
2024-10-26 21:39:47,26.004762,0.0,0.0,576.0
2024-10-26 21:39:48,27.004804,0.0,0.0,578.0
2024-10-26 21:39:49,28.007913,0.0,0.0,586.0
2024-10-26 21:39:50,29.007736,0.0,0.0,590.0
2024-10-26 21:39:51,30.010944,0.0,0.0,600.0
2024-10-26 21:39:52,31.010186,0.0,0.0,602.0
2024-10-26 21:39:53,32.01323,0.0,0.0,604.0
2024-10-26 21:39:54,33.012927,0.0,0.0,602.0
2024-10-26 21:39:55,34.016784,0.0,0.0,596.0
2024-10-26 21:39:56,35.019586,0.0,0.0,592.0
2024-10-26 21:39:57,36.019847,0.0,0.0,582.0
2024-10-26 21:39:58,37.022808,0.0,0.0,576.0
2024-10-26 21:39:59,38.02263,0.0,0.0,576.0
2024-10-26 21:40:00,39.025585,0.0,0.0,582.0
2024-10-26 21:40:01,40.025023,0.0,0.0,586.0
2024-10-26 21:40:03,41.028523,0.0,0.0,594.0
2024-10-26 21:40:04,42.031672,0.0,0.0,600.0
2024-10-26 21:40:05,43.03183,0.0,0.0,604.0
2024-10-26 21:40:06,44.034641,0.0,0.0,604.0
2024-10-26 21:40:07,45.034907,0.0,0.0,600.0
2024-10-26 21:40:08,46.037334,0.0,0.0,596.0
2024-10-26 21:40:09,47.03758,0.0,0.0,586.0
2024-10-26 21:40:10,48.04056,0.0,0.0,578.0
2024-10-26 21:40:11,49.044611,0.0,0.0,576.0
2024-10-26 21:40:12,50.044123,0.0,0.0,582.0
2024-10-26 21:40:13,51.046756,0.0,0.0,586.0
2024-10-26 21:40:14,52.050066,0.0,0.0,596.0
2024-10-26 21:40:15,53.049467,0.0,0.0,600.0
2024-10-26 21:40:16,54.052887,0.0,0.0,604.0
2024-10-26 21:40:17,55.052952,0.0,0.0,604.0
2024-10-26 21:40:18,56.055713,0.0,0.0,596.0
2024-10-26 21:40:19,57.055923,0.0,0.0,592.0
2024-10-26 21:40:20,58.059129,0.0,0.0,582.0
2024-10-26 21:40:21,59.059154,0.0,0.0,578.0
2024-10-26 21:40:22,60.062178,0.0,0.0,576.0
2024-10-26 21:40:23,61.062034,0.0,0.0,578.0
2024-10-26 21:40:24,62.064834,0.0,0.0,586.0
2024-10-26 21:40:25,63.067887,0.0,0.0,596.0
2024-10-26 21:40:26,64.067471,0.0,0.0,600.0
2024-10-26 21:40:27,65.07077,0.0,0.0,604.0
2024-10-26 21:40:28,66.070336,0.0,0.0,604.0
2024-10-26 21:40:29,67.07427,0.0,0.0,598.0
2024-10-26 21:40:30,68.073987,0.0,0.0,592.0
2024-10-26 21:40:31,69.077179,0.0,0.0,582.0
2024-10-26 21:40:32,70.077036,0.0,0.0,578.0
