timestamp,elapsed_time,FLOW1,CUMULATIVE_FLOW,PRESSURE1,PRESSURE2,PRESSURE3
2024-11-06 11:47:47,1.003342,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:47:48,2.006741,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:47:49,3.009976,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:47:50,4.010106,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:47:51,5.014064,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:47:52,6.016589,0.0,0.0,1.15,12.88,0.0
2024-11-06 11:47:53,7.020542,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:47:54,8.023575,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:47:55,9.026928,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:47:56,10.026701,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:47:57,11.030199,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:47:58,12.033676,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:47:59,13.037127,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:00,14.04044,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:01,15.043735,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:02,16.047356,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:03,17.050703,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:04,18.054037,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:05,19.054573,0.0,0.0,1.15,12.88,0.0
2024-11-06 11:48:06,20.05818,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:07,21.061338,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:08,22.064602,0.0,0.0,0.9,12.63,0.0
2024-11-06 11:48:09,23.067871,0.0,0.0,0.9,12.63,0.0
2024-11-06 11:48:10,24.071687,0.0,0.0,0.66,12.63,0.0
2024-11-06 11:48:11,25.074354,0.0,0.0,1.15,12.88,0.0
2024-11-06 11:48:12,26.077713,0.0,0.0,1.15,12.88,0.0
2024-11-06 11:48:13,27.077808,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:14,28.081058,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:15,29.084253,0.0,0.0,0.9,12.63,0.0
2024-11-06 11:48:16,30.088187,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:17,31.088317,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:18,32.091363,0.0,0.0,0.66,12.63,0.0
2024-11-06 11:48:19,33.094767,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:20,34.098141,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:21,35.101203,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:22,36.104533,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:23,37.104638,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:24,38.108221,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:25,39.111079,0.0,0.0,0.66,13.12,0.0
2024-11-06 11:48:26,40.114705,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:27,41.114511,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:28,42.118274,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:29,43.121386,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:30,44.124401,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:31,45.127603,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:32,46.12775,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:33,47.131398,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:34,48.134828,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:35,49.137561,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:36,50.141004,0.0,0.0,0.66,12.88,0.0
2024-11-06 11:48:37,51.141058,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:38,52.144891,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:39,53.148024,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:40,54.151225,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:41,55.155031,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:42,56.157918,0.0,0.0,0.66,13.12,0.0
2024-11-06 11:48:43,57.161428,0.0,0.0,0.9,12.88,0.0
2024-11-06 11:48:44,58.164948,0.0,0.0,0.9,13.12,0.0
2024-11-06 11:48:45,59.168192,0.0,0.0,0.9,13.12,0.0
