timestamp,elapsed_time,FLOW1,FLOW2,PRESSURE1,PRESSURE2,PRESSURE3
2024-10-31 13:16:02,0.78387,0.0,0.0,39.03,39.03,40.0
2024-10-31 13:16:03,1.787594,0.0,0.0,37.07,37.56,38.78
2024-10-31 13:16:04,2.79078,0.0,0.0,43.91,42.94,42.69
2024-10-31 13:16:05,3.793937,0.0,0.0,55.4,52.47,49.54
2024-10-31 13:16:06,4.797313,0.0,0.0,59.31,55.89,52.22
2024-10-31 13:16:07,5.797788,0.0,0.0,54.91,52.22,49.78
2024-10-31 13:16:08,6.800601,0.0,0.0,47.58,46.11,45.38
2024-10-31 13:16:09,7.804186,0.0,0.0,36.58,37.07,38.78
2024-10-31 13:16:10,8.807453,0.0,0.0,36.83,37.07,38.54
2024-10-31 13:16:11,9.810697,0.0,0.0,47.58,45.63,44.65
2024-10-31 13:16:12,10.810224,0.0,0.0,54.18,51.49,49.05
2024-10-31 13:16:13,11.814381,0.0,0.0,59.31,55.65,52.22
2024-10-31 13:16:14,12.817337,0.0,0.0,56.13,53.2,50.27
2024-10-31 13:16:15,13.820743,0.0,0.0,45.14,43.91,43.67
2024-10-31 13:16:16,14.824057,0.0,0.0,37.56,37.81,39.03
